post_title,ID,post_excerpt,post_status,post_date,post_author,discount_type,coupon_amount,individual_use,product_ids,product_SKUs,exclude_product_ids,exclude_product_SKUs,usage_count,usage_limit,usage_limit_per_user,limit_usage_to_x_items,date_expires,free_shipping,exclude_sale_items,product_categories,exclude_product_categories,minimum_amount,maximum_amount,customer_email,meta:apply_before_tax,meta:auto_generate_coupon,meta:coupon_generated_by,meta:coupon_title_prefix,meta:coupon_title_suffix,meta:description,meta:expiry_date,meta:is_pick_price_of_product,meta:sa_cbl_billing_locations,meta:sa_cbl_locations_lookup_in,meta:sa_cbl_shipping_locations,meta:sc_coupon_validity,meta:sc_disable_email_restriction,meta:sc_is_visible_storewide,meta:sc_restrict_to_new_user,meta:shareasale_wc_tracker_coupon_upload_enabled,meta:slide_template,meta:validity_suffix,meta:wc_coupon_message,meta:wc_email_message,meta:wc_sc_add_product_details,meta:wc_sc_auto_apply_coupon,meta:wc_sc_exclude_product_attribute_ids,meta:wc_sc_expiry_time,meta:wc_sc_max_discount,meta:wc_sc_payment_method_ids,meta:wc_sc_product_attribute_ids,meta:wc_sc_shipping_method_ids,meta:wc_sc_user_role_ids
7izn-bczk-psye,276541,,publish,"2019-10-28 21:17:17",1,fixed_cart,20,no,,,,,,1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rttg-q0mc-6gos,276542,,publish,"2019-10-28 21:17:17",1,fixed_cart,20,no,,,,,,1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xxu0-iido-nlev,276543,,publish,"2019-10-28 21:17:17",1,fixed_cart,20,no,,,,,,1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crll-c1dm-thbd,276544,,publish,"2019-10-28 21:17:17",1,fixed_cart,20,no,,,,,,1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ivxe-5crz-x2rb,276545,,publish,"2019-10-28 21:17:17",1,fixed_cart,20,no,,,,,,1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7bu0-2d9o-xdpu,276546,,publish,"2019-10-28 21:17:17",1,fixed_cart,20,no,,,,,,1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ettz-0es4-q6yu,276547,,publish,"2019-10-28 21:17:17",1,fixed_cart,20,no,,,,,,1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vqx9-h1tv-9bax,276548,,publish,"2019-10-28 21:17:17",1,fixed_cart,20,no,,,,,,1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmq8-jfvl-fgnf,276549,,publish,"2019-10-28 21:17:17",1,fixed_cart,20,no,,,,,,1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t9iu-czih-f5oe,276550,,publish,"2019-10-28 21:17:17",1,fixed_cart,20,no,,,,,,1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vxjl-jrs2-ufvp,276551,,publish,"2019-10-28 21:17:17",1,fixed_cart,20,no,,,,,,1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wbtm-dnd7-qb33,276552,,publish,"2019-10-28 21:17:17",1,fixed_cart,20,no,,,,,,1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75y7-8saq-ohqk,276553,,publish,"2019-10-28 21:17:17",1,fixed_cart,20,no,,,,,,1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r2xu-kvfg-azhx,276554,,publish,"2019-10-28 21:17:17",1,fixed_cart,20,no,,,,,,1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wywg-baip-prs8,276555,,publish,"2019-10-28 21:17:17",1,fixed_cart,20,no,,,,,,1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wywv-cqd8-knj1,276556,,publish,"2019-10-28 21:17:17",1,fixed_cart,20,no,,,,,,1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mv1q-d7c3-gkby,276557,,publish,"2019-10-28 21:17:17",1,fixed_cart,20,no,,,,,,1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cnme-mcre-1ftj,276558,,publish,"2019-10-28 21:17:17",1,fixed_cart,20,no,,,,,,1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mcqp-j7q6-nfpz,276559,,publish,"2019-10-28 21:17:17",1,fixed_cart,20,no,,,,,,1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7ejo-uks7-s5ix,276560,,publish,"2019-10-28 21:17:17",1,fixed_cart,20,no,,,,,,1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eqwi-hgkz-njag,276561,,publish,"2019-10-28 21:17:17",1,fixed_cart,20,no,,,,,,1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bygk-xzmj-opvh,276562,,publish,"2019-10-28 21:17:17",1,fixed_cart,20,no,,,,,,1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmsn-29vs-jaok,276563,,publish,"2019-10-28 21:17:17",1,fixed_cart,20,no,,,,,,1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2gyh-tyke-hb82,276564,,publish,"2019-10-28 21:17:17",1,fixed_cart,20,no,,,,,,1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ndyv-slas-9m8t,276565,,publish,"2019-10-28 21:17:17",1,fixed_cart,20,no,,,,,,1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e2p3-e3vc-prn2,276566,,publish,"2019-10-28 21:17:17",1,fixed_cart,20,no,,,,,,1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ddwp-acgc-ubrd,276567,,publish,"2019-10-28 21:17:17",1,fixed_cart,20,no,,,,,,1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8k0e-dadq-kvif,276568,,publish,"2019-10-28 21:17:17",1,fixed_cart,20,no,,,,,,1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9vyj-ocgj-tsog,276569,,publish,"2019-10-28 21:17:17",1,fixed_cart,20,no,,,,,,1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
svym-v9p2-maxj,276570,,publish,"2019-10-28 21:17:17",1,fixed_cart,20,no,,,,,,1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ce7y-m8mw-bxng,276571,,publish,"2019-10-28 21:17:17",1,fixed_cart,20,no,,,,,,1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lscx-d8qz-jbdm,276572,,publish,"2019-10-28 21:17:17",1,fixed_cart,20,no,,,,,,1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ibm7-enff-wxze,276573,,publish,"2019-10-28 21:17:17",1,fixed_cart,20,no,,,,,,1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
q7ok-fxxn-loax,276574,,publish,"2019-10-28 21:17:17",1,fixed_cart,20,no,,,,,,1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tseh-ho8d-bcut,276575,,publish,"2019-10-28 21:17:17",1,fixed_cart,20,no,,,,,,1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mq50-3iec-kmaf,276576,,publish,"2019-10-28 21:17:17",1,fixed_cart,20,no,,,,,,1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zhbs-5aff-hr2u,276577,,publish,"2019-10-28 21:17:17",1,fixed_cart,20,no,,,,,,1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amk4-oosh-xuug,276578,,publish,"2019-10-28 21:17:17",1,fixed_cart,20,no,,,,,,1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
